comparison,session_id,reference_frame,phase_label,x_a,y_a,x_b,y_b,pixel_distance,pct_image_diagonal,over_10px,over_25px,over_50px
inter_rater,f0647c16-5b92-48b6-a06a-d05d86fe8145,35,backswing,838.0,99.0,749.0,128.0,93.60555539069249,4.249182927993987,1,1,1
inter_rater,f0647c16-5b92-48b6-a06a-d05d86fe8145,45,downswing,820.0,63.0,843.0,185.0,124.1491039033307,5.63569384989984,1,1,1
inter_rater,f0647c16-5b92-48b6-a06a-d05d86fe8145,54,impact_region,1158.0,982.0,1193.0,1062.0,87.32124598286491,3.9639094723906445,1,1,1
inter_rater,f0647c16-5b92-48b6-a06a-d05d86fe8145,58,impact_region,1004.0,648.0,966.0,770.0,127.7810627597063,5.800565021309207,1,1,1
inter_rater,f0647c16-5b92-48b6-a06a-d05d86fe8145,63,follow_through,723.0,27.0,718.0,58.0,31.400636936215164,1.425418073111182,1,1,0
inter_rater,57660e2f-8425-445f-bca0-17c6e557f1b0,27,backswing,567.0,1012.0,600.0,1025.0,35.4682957019364,2.415101474789653,1,1,0
inter_rater,57660e2f-8425-445f-bca0-17c6e557f1b0,113,backswing,80.0,443.0,54.0,405.0,46.04345773288535,3.135183703485237,1,1,0
inter_rater,57660e2f-8425-445f-bca0-17c6e557f1b0,213,downswing,142.0,256.0,0.0,209.0,149.57606760441325,10.184909489319873,1,1,1
inter_rater,57660e2f-8425-445f-bca0-17c6e557f1b0,233,downswing,418.0,880.0,504.0,891.0,86.70063436907483,5.903605622598871,1,1,1
inter_rater,57660e2f-8425-445f-bca0-17c6e557f1b0,265,follow_through,236.0,325.0,342.0,320.0,106.1178590059185,7.225760153249266,1,1,1
inter_rater,57660e2f-8425-445f-bca0-17c6e557f1b0,285,follow_through,84.0,11.0,9.0,0.0,75.8023746329889,5.16152307703622,1,1,1
inter_rater,332a7a76-cfa3-449e-9150-f93050fed050,8,backswing,1262.0,1002.0,1266.0,936.0,66.12110101926616,3.0015382362569527,1,1,1
inter_rater,332a7a76-cfa3-449e-9150-f93050fed050,43,backswing,580.0,159.0,596.0,183.0,28.844410203711913,1.3093792873094292,1,1,0
inter_rater,332a7a76-cfa3-449e-9150-f93050fed050,53,downswing,693.0,320.0,588.0,199.0,160.20611723651504,7.272486077138235,1,1,1
inter_rater,332a7a76-cfa3-449e-9150-f93050fed050,62,impact_region,1251.0,1005.0,1314.0,1027.0,66.73080248281148,3.0292153654535743,1,1,1
inter_rater,332a7a76-cfa3-449e-9150-f93050fed050,67,follow_through,912.0,572.0,1070.0,491.0,177.55280904564702,8.059931505829809,1,1,1
inter_rater,332a7a76-cfa3-449e-9150-f93050fed050,69,follow_through,525.0,70.0,494.0,2.0,74.73285756613352,3.3924651288570447,1,1,1
inter_rater,7473617c-26a8-428f-9ba6-fc51dd7d2156,1,backswing,917.0,1611.0,863.0,1573.0,66.03029607687671,2.9974161859217103,1,1,1
inter_rater,7473617c-26a8-428f-9ba6-fc51dd7d2156,26,backswing,280.0,312.0,234.0,360.0,66.48308055437865,3.01797013770194,1,1,1
inter_rater,7473617c-26a8-428f-9ba6-fc51dd7d2156,47,downswing,299.0,147.0,426.0,42.0,164.78470802838473,7.480329188007889,1,1,1
inter_rater,7473617c-26a8-428f-9ba6-fc51dd7d2156,59,impact_region,848.0,1520.0,771.0,1542.0,80.0812087820857,3.635251174886954,1,1,1
inter_rater,7473617c-26a8-428f-9ba6-fc51dd7d2156,63,impact_region,573.0,1115.0,470.0,1031.0,132.90974381135493,6.0333792370556205,1,1,1
inter_rater,7473617c-26a8-428f-9ba6-fc51dd7d2156,67,follow_through,51.0,325.0,64.0,372.0,48.76474136094644,2.2136539398128448,1,1,0
