scenario,metric,n,median_abs_symmetric_pct_change,median_abs_change_ci_lower,median_abs_change_ci_upper,mean_abs_symmetric_pct_change,p95_abs_symmetric_pct_change,rank_stability_spearman,rank_stability_ci_lower,rank_stability_ci_upper,response_class
landmark_dropout_20pct,max_ang_vel,70,65.44337283430404,37.03642595922231,90.51899345312815,70.29413875801205,179.8418167091538,0.7238337976503949,0.5038220844337821,0.8901956907586145,high
landmark_dropout_20pct,max_accel,71,58.696061435133004,39.141363232789026,90.17850214604398,73.43521767742118,187.97228246885035,0.2584171696847753,-0.029410982353499537,0.49227619752719004,high
landmark_dropout_20pct,swing_tempo,70,140.3583001757052,98.07404900082587,164.08668730650157,116.30902666721265,198.03338762214986,-0.08176596369412452,-0.3124975334438879,0.14802404902217864,high
landmark_dropout_20pct,smoothness_index,71,10.599961896143471,5.165962552577603,15.861531130783098,16.56414685649312,50.0315257844013,0.4862843729040911,0.2612903697475982,0.6680260152157981,moderate
landmark_dropout_20pct,path_efficiency,71,11.54904897533555,5.924569967409559,21.304904787236335,34.891785916255266,166.20380357918327,0.2664430937753288,-0.016715631477774048,0.5098994230273898,moderate
landmark_dropout_20pct,curvature_rms,70,50.22031848616374,37.57108519087812,71.0613669284638,65.64142334686697,180.6930074755729,0.9083714108930705,0.84122348365296,0.9457501440570399,high
landmark_dropout_20pct,backswing_peak_speed,70,103.52225837207222,54.379129423752985,146.76261557158546,101.95708086614452,200.0,0.10507239192980163,-0.16243506962578028,0.3642228709712311,high
landmark_dropout_5pct,max_speed,71,0.1512272029092765,0.006425617369195582,0.8444960598852352,23.072035855617326,121.95015973659469,0.7528504359490275,0.584351089328437,0.8797530961531105,low
landmark_dropout_5pct,max_ang_vel,69,0.004459432792770946,3.701643905096124e-05,0.12623890623084283,23.68740870539489,130.1175103223153,0.9563110462048179,0.9113040789097643,0.9817143626378084,low
landmark_dropout_5pct,max_accel,71,0.14341226620738173,0.005443895653083605,7.406327497778384,36.778477023217114,161.14932176621525,0.6785378940308516,0.48824454886491353,0.8253603510113116,low
landmark_dropout_5pct,swing_tempo,68,51.322078811789595,29.23433874709976,88.12526939366296,68.67998777676193,172.36113803277982,0.3914768011569931,0.13422242683094884,0.602593696724255,high
landmark_dropout_5pct,smoothness_index,71,0.08138290272902537,0.0034720106298900375,2.205916076098472,6.523928414372807,35.651996571142476,0.7467136150234741,0.5748699996778897,0.8925530140404557,low
landmark_dropout_5pct,path_efficiency,71,0.42765982291365484,0.12549976814612146,1.2995093687632187,16.13433104939622,106.93297229631521,0.6837145348447247,0.4572707777572846,0.8634058381012784,low
landmark_dropout_5pct,curvature_rms,68,7.165125293159039,2.440876509508363,11.805653947939444,21.268006560527716,87.79691466956622,0.9794754846066134,0.9525306510358931,0.9919792176506402,low
landmark_dropout_5pct,backswing_peak_speed,68,1.3190953368986134,0.007088785065203124,31.52234239025802,43.89477067343636,179.25711865507662,0.6866993091421287,0.47213314665348916,0.8572590812529705,low
scale_minus_10pct,max_speed,71,10.52631578947368,10.526315789473678,10.526315789473687,10.526315789473683,10.52631578947372,1.0,0.9999999999999998,1.0,moderate
scale_minus_10pct,max_ang_vel,68,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,1.0,low
scale_minus_10pct,max_accel,71,10.52631578947368,10.526315789473673,10.52631578947369,10.526315789473681,10.526315789473761,1.0,0.9999999999999998,1.0,moderate
scale_minus_10pct,swing_tempo,68,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,1.0,low
scale_minus_10pct,smoothness_index,71,1.5656709638125812,1.4675198575500847,1.7128303765422346,1.664427211504381,2.283941245061353,1.0,0.9999999999999998,1.0,low
scale_minus_10pct,path_efficiency,71,1.0006906890859283e-13,7.104212000755121e-14,1.2897724499835622e-13,2.2751455111219286e-13,8.520064127714775e-13,0.9999999999999998,0.9999999999999998,1.0,low
scale_minus_10pct,curvature_rms,68,10.52631578947839,10.52631578947319,10.526315789491282,10.52631580085411,10.526315790254184,0.9999999999999998,0.9999999999999998,1.0,moderate
scale_minus_10pct,backswing_peak_speed,68,10.526315789473685,10.526315789473681,10.526315789473689,10.526315789473685,10.526315789473712,0.9999999999999998,0.9999999999999998,1.0,moderate
scale_minus_5pct,max_speed,71,5.128205128205137,5.128205128205129,5.128205128205143,5.128205128205133,5.128205128205185,1.0,0.9999999999999998,1.0,low
scale_minus_5pct,max_ang_vel,68,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,1.0,low
scale_minus_5pct,max_accel,71,5.12820512820513,5.1282051282051215,5.128205128205146,5.128205128205129,5.1282051282051935,1.0,0.9999999999999998,1.0,low
scale_minus_5pct,swing_tempo,68,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,1.0,low
scale_minus_5pct,smoothness_index,71,0.7591752434743586,0.7117614699295901,0.8302188702797757,0.8066805388672029,1.1054252791033892,1.0,0.9999999999999998,1.0,low
scale_minus_5pct,path_efficiency,71,1.170533525538234e-13,8.202916748542715e-14,1.3984695530225414e-13,2.237620626980014e-13,8.695306065051979e-13,0.9999999999999998,0.9999999999999998,1.0,low
scale_minus_5pct,curvature_rms,68,5.12820512820519,5.128205128199436,5.128205128215116,5.128205124015801,5.128205128987506,0.9999999999999998,0.9999999999999998,1.0,low
